YEAR,MONTH,DAY,WEEKDAY,HOUR,TEAM1,TEAM2,STADIUM,LOCATION,WINNER
2018,08,4,5,18,키움,KT,수원,수원,키움
2018,08,4,5,18,삼성,롯데,사직,부산,롯데
2018,08,4,5,18,SK,LG,잠실,서울,SK
2018,08,4,5,18,두산,KIA,광주,광주,KIA
2018,08,4,5,18,NC,한화,대전,대전,NC
2018,08,2,3,18,키움,SK,문학,인천,키움
2018,08,2,3,18,NC,삼성,대구,대구,삼성
2018,08,2,3,18,롯데,KIA,광주,광주,롯데
2018,08,2,3,18,LG,두산,잠실,서울,두산
2018,08,2,3,18,KT,한화,대전,대전,한화
2018,08,1,2,18,키움,SK,문학,인천,SK
2018,08,1,2,18,NC,삼성,대구,대구,NC
2018,08,1,2,18,롯데,KIA,광주,광주,KIA
2018,08,1,2,18,LG,두산,잠실,서울,두산
2018,08,1,2,18,KT,한화,대전,대전,한화
2017,08,31,3,18,키움,LG,잠실,서울,키움
2017,08,31,3,18,삼성,SK,문학,인천,SK
2017,08,31,3,18,두산,KIA,광주,광주,KIA
2017,08,31,3,18,NC,롯데,사직,부산,롯데
2017,08,31,3,18,KT,한화,대전,대전,한화
2017,08,30,2,18,SK,키움,고척,서울,키움
2017,08,30,2,18,NC,KT,수원,수원,KT
2017,08,30,2,18,롯데,두산,잠실,서울,롯데
2017,08,30,2,18,LG,한화,대전,대전,LG
2017,08,30,2,18,KIA,삼성,대구,대구,KIA
2017,08,29,1,18,SK,키움,고척,서울,키움
2017,08,29,1,18,NC,KT,수원,수원,NC
2017,08,29,1,18,롯데,두산,잠실,서울,두산
2017,08,29,1,18,LG,한화,대전,대전,한화
2017,08,29,1,18,KIA,삼성,대구,대구,KIA
2017,08,27,6,18,키움,롯데,사직,부산,키움
2017,08,27,6,18,LG,두산,잠실,서울,0
2017,08,27,6,18,KT,삼성,대구,대구,KT
2017,08,27,6,18,KIA,NC,마산,창원,NC
2017,08,27,6,18,한화,SK,문학,인천,SK
2017,08,26,5,18,키움,롯데,사직,부산,롯데
2017,08,26,5,18,LG,두산,잠실,서울,두산
2017,08,26,5,18,KT,삼성,대구,대구,삼성
2017,08,26,5,18,KIA,NC,마산,창원,KIA
2017,08,26,5,18,한화,SK,문학,인천,SK
2017,08,25,4,18,키움,두산,잠실,서울,두산
2017,08,25,4,18,SK,삼성,대구,대구,SK
2017,08,25,4,18,LG,롯데,사직,부산,롯데
2017,08,25,4,18,KT,NC,마산,창원,NC
2017,08,25,4,18,KIA,한화,대전,대전,한화
2017,08,24,3,18,키움,두산,잠실,서울,두산
2017,08,24,3,18,SK,삼성,대구,대구,SK
2017,08,24,3,18,LG,롯데,사직,부산,롯데
2017,08,24,3,18,KT,NC,마산,창원,NC
2017,08,23,2,18,삼성,키움,고척,서울,키움
2017,08,23,2,18,두산,SK,문학,인천,두산
2017,08,23,2,18,NC,LG,잠실,서울,LG
2017,08,23,2,18,롯데,KIA,광주,광주,롯데
2017,08,23,2,18,한화,KT,수원,수원,한화
2017,08,22,1,18,삼성,키움,고척,서울,키움
2017,08,22,1,18,두산,SK,문학,인천,두산
2017,08,22,1,18,NC,LG,잠실,서울,NC
2017,08,22,1,18,롯데,KIA,광주,광주,롯데
2017,08,22,1,18,한화,KT,수원,수원,한화
2017,08,20,6,18,두산,KT,수원,수원,KT
2017,08,20,6,18,NC,키움,고척,서울,NC
2017,08,20,6,18,롯데,한화,대전,대전,롯데
2017,08,19,5,18,삼성,LG,잠실,서울,LG
2017,08,19,5,18,SK,KIA,광주,광주,SK
2017,08,19,5,18,두산,KT,수원,수원,두산
2017,08,19,5,18,NC,키움,고척,서울,키움
2017,08,19,5,18,롯데,한화,대전,대전,한화
2017,08,18,4,18,삼성,KT,수원,수원,삼성
2017,08,18,4,18,롯데,키움,고척,서울,롯데
2017,08,18,4,18,LG,SK,문학,인천,SK
2017,08,18,4,18,KIA,두산,잠실,서울,두산
2017,08,18,4,18,한화,NC,마산,창원,한화
2017,08,17,3,18,삼성,KT,수원,수원,삼성
2017,08,17,3,18,롯데,키움,고척,서울,롯데
2017,08,17,3,18,LG,SK,문학,인천,SK
2017,08,17,3,18,KIA,두산,잠실,서울,두산
2017,08,17,3,18,한화,NC,마산,창원,NC
2017,08,16,2,18,키움,삼성,대구,대구,키움
2017,08,16,2,18,SK,한화,대전,대전,한화
2017,08,16,2,18,두산,롯데,사직,부산,롯데
2017,08,16,2,18,NC,KIA,광주,광주,KIA
2017,08,16,2,18,KT,LG,잠실,서울,LG
2017,08,15,1,18,두산,롯데,사직,부산,롯데
2017,08,15,1,18,NC,KIA,광주,광주,KIA
2017,08,13,6,18,NC,두산,잠실,서울,두산
2017,08,13,6,18,롯데,삼성,대구,대구,롯데
2017,08,13,6,18,KT,SK,문학,인천,KT
2017,08,13,6,18,한화,키움,고척,서울,키움
2017,08,12,5,18,NC,두산,잠실,서울,두산
2017,08,12,5,18,롯데,삼성,대구,대구,삼성
2017,08,12,5,18,LG,KIA,광주,광주,KIA
2017,08,12,5,18,KT,SK,문학,인천,SK
2017,08,12,5,18,한화,키움,고척,서울,한화
2017,08,11,4,18,삼성,한화,대전,대전,한화
2017,08,11,4,18,SK,LG,잠실,서울,LG
2017,08,11,4,18,두산,키움,고척,서울,키움
2017,08,11,4,18,롯데,NC,마산,창원,롯데
2017,08,11,4,18,KIA,KT,수원,수원,KT
2017,08,10,3,18,SK,LG,잠실,서울,SK
2017,08,10,3,18,두산,키움,고척,서울,두산
2017,08,10,3,18,롯데,NC,마산,창원,NC
2017,08,9,2,18,키움,KIA,광주,광주,KIA
2017,08,9,2,18,NC,SK,문학,인천,NC
2017,08,9,2,18,LG,삼성,대구,대구,삼성
2017,08,9,2,18,KT,롯데,사직,부산,롯데
2017,08,9,2,18,한화,두산,잠실,서울,한화
2017,08,8,1,18,키움,KIA,광주,광주,키움
2017,08,8,1,18,NC,SK,문학,인천,SK
2017,08,8,1,18,LG,삼성,대구,대구,LG
2017,08,8,1,18,KT,롯데,사직,부산,롯데
2017,08,8,1,18,한화,두산,잠실,서울,두산
2017,08,6,6,18,키움,롯데,사직,부산,롯데
2017,08,6,6,18,삼성,NC,마산,창원,NC
2017,08,6,6,18,SK,KT,수원,수원,KT
2017,08,6,6,18,두산,LG,잠실,서울,두산
2017,08,5,5,18,키움,롯데,사직,부산,롯데
2017,08,5,5,18,삼성,NC,마산,창원,삼성
2017,08,5,5,18,SK,KT,수원,수원,KT
2017,08,5,5,18,두산,LG,잠실,서울,두산
2017,08,5,5,18,KIA,한화,대전,대전,KIA
2017,08,4,4,18,키움,롯데,사직,부산,롯데
2017,08,4,4,18,삼성,NC,마산,창원,삼성
2017,08,4,4,18,SK,KT,수원,수원,SK
2017,08,4,4,18,두산,LG,잠실,서울,두산
2017,08,4,4,18,KIA,한화,대전,대전,한화
2017,08,3,3,18,SK,키움,고척,서울,키움
2017,08,3,3,18,두산,삼성,대구,대구,두산
2017,08,3,3,18,롯데,LG,잠실,서울,LG
2017,08,3,3,18,KT,KIA,광주,광주,KIA
2017,08,3,3,18,한화,NC,마산,창원,NC
2017,08,2,2,18,SK,키움,고척,서울,키움
2017,08,2,2,18,두산,삼성,대구,대구,두산
